sym,name,region_id,instrument_id,blp_symbol,blp_type,exchange_id,sector_id,subsector_id,tt_exchange,orderGenRegion_id,varsubsector_id,trading_start_time,trading_end_time
NEI,NEWEDGE CTA INDEX,US,FUT,NEIXCTA,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,15:00:00
NET,NEWEDGE CTA TRACKING INDEX,US,FUT,NEIXCTAT,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,15:00:00
NG,NATURAL GAS,US,FUT,NG,COMDTY,NYMEX,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
NK,OSE NIKKEI 225,ASIA,FUT,NK,INDEX,OSE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:00:00,01:15:00
NK3,OSE NIKKEI 225,ASIA,FUT,NK,INDEX,OSE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:00:00,01:15:00
NOK,USD/NOK,WORLD,FX,USDNOK,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
NQ,EMINI NASDAQ 100,US,FUT,NQ,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
NY,NZD/JPY,WORLD,FX,NZDJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
OAT,Euro-OAT,EUROPE,FUT,OAT,COMDTY,EUREX,FI,FI_LM,Eurex-B,EUROPE,FI,02:00:00,11:30:00
OJ,OJ,US,FUT,JO,COMDTY,NYCE,COMMODITY,AGR,ICE_IPE-A,US,AGR,10:00:00,13:30:00
PA,PALLADIUM,US,FUT,PA,COMDTY,NYMEX,COMMODITY,MET_PREC,CME-H,US,METAL,08:30:00,13:00:00
PEN,USD/PEN,WORLD,FX,USDPEN,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
PHP,USD/PHP,WORLD,FX,USDPHP,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
PJ,GBP/JPY,WORLD,FX,GBPJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
PL,PLATINUM,US,FUT,PL,COMDTY,NYMEX,COMMODITY,MET_PREC,CME-H,US,METAL,08:20:00,13:05:00
PLN,USD/PLN,WORLD,FX,USDPLN,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
PT,TSE INDEX,US,FUT,PT,INDEX,ME,EQUITY,EQUITY,NOT_TT,US,EQUITY,09:30:00,16:15:00
QC,OMX30 STOCKHOLM,EUROPE,FUT,QC,INDEX,SSE,EQUITY,EQUITY,NOT_TT,EUROPE,EQUITY,03:00:00,11:20:00
QZ,MSCI SINGAPORE,ASIA,FUT,QZ,INDEX,SIMEX,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:30:00,04:15:00
RL,RUSSELL MINI,US,FUT,RTA_OLD,INDEX,NYCE,EQUITY,EQUITY,ICE_IPE,US,EQUITY,09:30:00,16:15:00
RR,ROUGH RICE,US,FUT,RR,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,10:30:00,14:15:00
RS,CANOLA,US,FUT,RS,COMDTY,WCE,COMMODITY,AGR,ICE_IPE-A,US,AGR,10:30:00,14:15:00
RTA,RUSSELL ULTRA MINI,US,FUT,RTA,INDEX,NYCE,EQUITY,EQUITY,ICE_IPE,US,EQUITY,09:30:00,16:15:00
RUB,USD/RUB,WORLD,FX,USDRUB,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
RY,EUR/JPY,WORLD,FX,EURJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
S,SOYBEANS,US,FUT,S,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,09:30:00,14:15:00
SAR,USD/SAR,WORLD,FX,USDSAR,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
SB,SUGAR WORLD 11,US,FUT,SB,COMDTY,CSCE,COMMODITY,AGR,ICE_IPE,US,AGR,08:10:00,12:30:00
SEK,USD/SEK,WORLD,FX,USDSEK,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
SGD,USD/SGD,WORLD,FX,USDSGD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
SI,SILVER,US,FUT,SI,COMDTY,COMEX,COMMODITY,MET_PREC,CME-H,US,METAL,08:25:00,13:25:00
SJB,MINI JGB,ASIA,FUT,BJ,COMDTY,SIMEX,FI,FI_LM,NYSE_Liffe-A,ASIA,FI,21:00:00,03:00:00
SKK,USD/SKK,WORLD,FX,USDSKK,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
SM,SOYBEAN MEAL,US,FUT,SM,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,10:30:00,14:15:00
SN,GBP/CHF,WORLD,FX,GBPCHF,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
SP,S&P 500,US,FUT,SP,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
SPX,S&P Cash,US,FUT,SPX,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,09:30:00,16:00:00
SSI,NIKKEI 225 SIMEX,ASIA,FUT,NI,INDEX,SIMEX,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:00:00,01:30:00
STW,TAIWAN INDEX,ASIA,FUT,TW,INDEX,SIMEX,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:45:00,00:50:00
SWI,SWISS_SMI,EUROPE,FUT,SM,INDEX,SOFFEX,EQUITY,EQUITY,NOT_TT,EUROPE,EQUITY,03:00:00,11:30:00
SXE,DJ EURO STOX50,EUROPE,FUT,VG,INDEX,EUREX,EQUITY,EQUITY,Eurex-B,EUROPE,EQUITY,03:00:00,14:00:00
SXE3,DJ EURO STOX50,EUROPE,FUT,VG,INDEX,EUREX,EQUITY,EQUITY,Eurex-B,EUROPE,EQUITY,03:00:00,14:00:00
SXV,Eurostoxx VIX Future,EUROPE,FUT,FVS,INDEX,EUREX,EQUITY,EQUITY,NOT_TT,EUROPE,EQUITY,03:00:00,11:30:00
THB,USD/THB,WORLD,FX,USDTHB,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
TP,TOPIX,ASIA,FUT,TP,INDEX,TSE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,19:00:00,01:15:00
TRY,USD/TRY,WORLD,FX,USDTRY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
TWD,USD/TWD,WORLD,FX,USDTWD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
TY2,US 10Y,US,FUT,TY,COMDTY,CBT,FI,FI_LM,CME-H,US,FI,08:20:00,15:00:00
TY3,US 10Y,US,FUT,TY,COMDTY,CBT,FI,FI_LM,CME-H,US,FI,08:20:00,15:00:00
UB,BUXL,EUROPE,FUT,UB,COMDTY,EUREX,FI,FI_LM,Eurex-B,EUROPE,FI,02:00:00,11:30:00
UF,EUR/CHF,WORLD,FX,EURCHF,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
US2,US 30Y,US,FUT,US,COMDTY,CBT,FI,FI_LM,CME-H,US,FI,08:20:00,15:00:00
UVOL,NYSE UP Volume,US,FUT,UVOL,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
VIX,VIX Cash,US,FUT,VIX,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
VX,VIX INDEX,US,FUT,UX,INDEX,CME,EQUITY,EQUITY,CFE-A,US,EQUITY,09:30:00,16:15:00
W,WHEAT,US,FUT,W,COMDTY,CBT,COMMODITY,AGR,CME-H,US,AGR,09:30:00,14:15:00
WIG,WIG PL IDX,EUROPE,FUT,WI,INDEX,WSE,EQUITY,EQUITY,LIFFE,EUROPE,EQUITY,03:00:00,12:30:00
WN,US ULTRA,US,FUT,WN,COMDTY,CBT,FI,FI_LM,CME-H,US,FI,08:20:00,15:00:00
WTI,WTI CRUDE,US,FUT,EN,COMDTY,IPE,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
XB,GASOLINE RBOB,US,FUT,XB,COMDTY,NYMEX,COMMODITY,ENERGY,CME-H,US,ENERGY,09:00:00,14:30:00
XU,CHINA A50,ASIA,FUT,XU,INDEX,SIMEX,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,20:00:00,03:00:00
YAP,AUSSIE SP200,ASIA,FUT,XP,INDEX,SFE,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,17:50:00,00:30:00
YBA,AUD BANKBILLS 3M,ASIA,FUT,IR,COMDTY,SFE,FI,FI_SM,NOT_TT,ASIA,FI,16:28:00,00:30:00
YIX,ALL ORD,ASIA,FUT,AS,INDEX,SFE,EQUITY,EQUITY,CME-H,ASIA,EQUITY,16:30:00,00:30:00
YTC,AUD 10Y,ASIA,FUT,XM,COMDTY,SFE,FI,FI_LM,NOT_TT,ASIA,FI,16:32:00,00:30:00
YTT,AUD 3Y,ASIA,FUT,YM,COMDTY,SFE,FI,FI_LM,NOT_TT,ASIA,FI,16:30:00,00:30:00
ZAR,USD/ZAR,WORLD,FX,USDZAR,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
ZI,SILVER,US,FUT,ZI,COMDTY,CBT,COMMODITY,MET_PREC,CME-H,US,METAL,08:20:00,13:30:00
ZP,GOLD,US,FUT,ZP,COMDTY,CBT,COMMODITY,MET_PREC,CME-H,US,METAL,08:20:00,13:30:00
ZY,CHF/JPY,WORLD,FX,CHFJPY,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
